vdiffx,vdiffy,cx_raw,cy_raw,cx_ud_px,cy_ud_px,x_mm,y_mm,theta_x_deg,theta_y_deg
-77.0,0.0,293.7581324913925,269.9737131591354,293.11306887114523,270.663995711424,0.10085360705852509,0.12904678285121918,0.028892427716639267,0.036969174955161416
-76.0,0.0,297.38455812888265,270.0777389711145,296.8225724309642,270.69891636487097,0.10259667783975601,0.12906301021575928,0.02939178058323898,0.0369738237507296
-75.0,0.0,301.00331325301204,270.32782558806656,300.48339054211226,270.90352046750445,0.10432260483503342,0.1291579306125641,0.02988622211381008,0.037001016430030495
-74.0,0.0,304.612575484388,270.28244755444894,304.15717036701403,270.8283869506117,0.10605800896883011,0.1291232854127884,0.030383378639361566,0.03699109131553092
-73.0,0.0,308.31449550248584,270.5630514124781,307.9134152935485,271.0811776089246,0.10783915966749191,0.129240944981575,0.03089364058199929,0.037024798285022364
-72.0,0.0,311.99513172966783,270.5337056128293,311.6527423288526,270.99720662469514,0.10961558669805527,0.129202201962471,0.03140254928891372,0.037013699232254456
-71.0,0.0,315.65257683079267,270.85464289306185,315.3150723936163,271.3195284805171,0.111362524330616,0.12935271859169006,0.0319030099032636,0.037056819052242215
-70.0,0.0,319.3367423261701,270.87363712206206,319.0814165597834,271.2943138093202,0.11316230893135071,0.1293414682149887,0.032418610049083016,0.03705359605807569
-69.0,0.0,323.1451782045941,271.0934766057089,322.95384352870917,271.547606859483,0.11501973122358322,0.1294603794813156,0.03295072216651198,0.037087661612300774
-68.0,0.0,326.86108072316904,271.1788346384155,326.6963914146453,271.59269446740586,0.11681901663541794,0.12948215007781982,0.03346617929453762,0.03709389842617298
-67.0,0.0,330.8002794100703,271.2891030072589,330.72233865104147,271.6640291974966,0.11876049637794495,0.1295163482427597,0.03402237207789657,0.03710369547465629
-66.0,0.0,334.6796302429051,271.39452275705173,334.6741233632076,271.75400025647235,0.12067218124866486,0.12955938279628754,0.034570029255923125,0.03711602396093635
-65.0,0.0,338.35967772049,271.49190710767067,338.4568146644138,271.7871331411776,0.1225072517991066,0.12957578897476196,0.03509573804986199,0.037120723982886385
-64.0,0.0,342.2534801698697,271.4487007845678,342.4043112513144,271.7146531389434,0.12442739307880402,0.1295425295829773,0.03564581779719746,0.03711119587299259
-63.0,0.0,346.1593512139463,271.7165966174156,346.40089384838734,272.00128099291186,0.12637943029403687,0.12967857718467712,0.036205035046763104,0.03715017062357566
-62.0,0.0,350.0944965159571,271.6509872662215,350.4141753825985,271.9384564963379,0.12834376096725464,0.12964995205402374,0.03676777410427151,0.03714197013115025
-61.0,0.0,353.8816579171909,271.89124618566245,354.28027268853856,272.17496094304784,0.13024353981018066,0.12976284325122833,0.03731202042535488,0.03717431106326786
-60.0,0.0,357.85148614609574,272.0970421014754,358.3436469693127,272.3010679967312,0.132245734333992,0.12982380390167236,0.03788560665824028,0.03719177499584687
-59.0,0.0,362.13050337221756,272.1188381046111,362.64392106938254,272.3361199519061,0.13437099754810333,0.12984183430671692,0.03849444945035402,0.037196940324229946
-58.0,0.0,365.9136709410998,272.2162718249656,366.52739174077163,272.443456378211,0.13629686832427979,0.12989415228366852,0.03904617053453917,0.03721192831427032
-57.0,0.0,370.1064331717201,272.3680150517404,370.83516034492476,272.51400552330495,0.13843971490859985,0.12992925941944122,0.03966005057206248,0.037221985763579664
-56.0,0.0,374.108194205123,272.5172383834581,374.97101327035534,272.70164192532616,0.14050455391407013,0.13002026081085205,0.04025158308632511,0.03724805573085767
-55.0,0.0,378.06919655750016,272.63059550626696,379.0127783913767,272.8075971311533,0.1425284594297409,0.13007250428199768,0.04083138901693288,0.03726302237654854
-54.0,0.0,382.23816206362756,272.8855774656038,383.3019244734931,273.01036254957825,0.1446838229894638,0.13017137348651886,0.04144885487502328,0.037291346305273615
-53.0,0.0,386.48409801876954,272.81953134051673,387.7281269576112,272.9789100020881,0.1469142735004425,0.13015833497047424,0.04208783153890209,0.03728761104715342
-52.0,0.0,390.5944026490836,272.9273390071746,391.9814451084458,273.0322481786396,0.14906544983386993,0.13018588721752167,0.04270409782594405,0.03729550418116932
