iteration,vdiffx,vdiffy,cx_raw,cy_raw,next_vdiffx,next_vdiffy
80,-50.0,50.0,460.78900894682323,205.54406059008548,-50.0,-50.0
81,50.0,50.0,862.2485637472173,206.142509444485,-50.0,50.0
82,50.0,-50.0,836.6499746563251,526.5914450682026,-50.0,50.0
83,0.0,0.0,648.4717732510036,360.6322450614866,50.0,-50.0
84,50.0,-50.0,836.5867511795244,526.5654628018693,-50.0,-50.0
85,-50.0,-50.0,435.7140236759912,504.9538295692458,50.0,50.0
86,50.0,-50.0,836.6580105772517,526.4791662283209,-50.0,50.0
87,-50.0,-50.0,435.5925886242939,504.86938730531296,50.0,50.0
88,50.0,50.0,862.1713775198365,205.99197075884516,-50.0,-50.0
89,-50.0,50.0,460.718438044979,205.3878185424949,50.0,50.0
90,50.0,-50.0,836.5963244041599,526.4913055361204,-50.0,-50.0
91,-50.0,50.0,460.8227888504687,205.37274373381567,-50.0,-50.0
92,50.0,50.0,862.5614748682789,205.87943246782936,50.0,-50.0
93,0.0,0.0,648.4129463461795,360.5892223584894,50.0,-50.0
94,-50.0,50.0,460.9195736031652,205.46475156050894,-50.0,-50.0
95,-50.0,-50.0,435.7830592873914,504.9137913874772,50.0,50.0
96,50.0,50.0,862.3156117268887,205.9432797970354,-50.0,50.0
97,0.0,0.0,648.3013401991506,360.5820522806944,-50.0,50.0
98,-50.0,50.0,460.79069630788416,205.46684905786813,50.0,50.0
99,-50.0,-50.0,435.7695809504634,504.97708367961235,50.0,50.0
